Cluster Labels,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Del Ray / Mount Dennis / Keelsdale and Silverthorn,Fast Food Restaurant,Museum,Sandwich Place,Restaurant,Caribbean Restaurant,Yoga Studio,Dim Sum Restaurant,Dance Studio,Deli / Bodega,Department Store
0,Don Mills,Japanese Restaurant,Coffee Shop,Beer Store,Gym,Restaurant,Asian Restaurant,Italian Restaurant,Caribbean Restaurant,Sandwich Place,Bike Shop
0,Dorset Park / Wexford Heights / Scarborough Town Centre,Indian Restaurant,Chinese Restaurant,Vietnamese Restaurant,Pet Store,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner
0,Downsview,Grocery Store,Park,Home Service,Athletics & Sports,Liquor Store,Discount Store,Business Service,Hotel,Baseball Field,Bank
0,Dufferin / Dovercourt Village,Pharmacy,Bakery,Park,Supermarket,Middle Eastern Restaurant,Bar,Gym / Fitness Center,Café,Grocery Store,Smoke Shop
2,East Toronto,Park,Coffee Shop,Metro Station,Convenience Store,Diner,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Discount Store
0,Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Wood,Cosmetics Shop,Coffee Shop,Shopping Plaza,Beer Store,Pet Store,Liquor Store,Pizza Place,Café,Convenience Store,Yoga Studio
0,Fairview / Henry Farm / Oriole,Clothing Store,Coffee Shop,Fast Food Restaurant,Restaurant,Bank,Women's Store,Food Court,Tea Room,Bakery,Bus Station
0,First Canadian Place / Underground city,Coffee Shop,Café,Hotel,Japanese Restaurant,Gym,Restaurant,Asian Restaurant,Deli / Bodega,American Restaurant,Seafood Restaurant
0,Forest Hill North & West,Jewelry Store,Trail,Sushi Restaurant,Mexican Restaurant,Donut Shop,Doner Restaurant,Dog Run,Distribution Center,Discount Store,Curling Ice
0,"Garden District, Ryerson",Clothing Store,Coffee Shop,Café,Cosmetics Shop,Middle Eastern Restaurant,Restaurant,Bubble Tea Shop,Japanese Restaurant,Hotel,Tea Room
3,Glencairn,Pizza Place,Japanese Restaurant,Pub,Yoga Studio,Diner,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant
0,Golden Mile / Clairlea / Oakridge,Bakery,Bus Line,Metro Station,Park,Soccer Field,Ice Cream Shop,Intersection,Diner,Dessert Shop,Dim Sum Restaurant
0,Guildwood / Morningside / West Hill,Electronics Store,Mexican Restaurant,Breakfast Spot,Intersection,Medical Center,Bank,Rental Car Location,Construction & Landscaping,Convenience Store,Drugstore
0,Harbourfront East / Union Station / Toronto Islands,Coffee Shop,Aquarium,Café,Hotel,Scenic Lookout,Brewery,Restaurant,Sporting Goods Shop,Italian Restaurant,Fried Chicken Joint
0,High Park / The Junction South,Thai Restaurant,Café,Mexican Restaurant,Diner,Flea Market,Bar,Cajun / Creole Restaurant,Bakery,Fast Food Restaurant,Fried Chicken Joint
0,Hillcrest Village,Golf Course,Mediterranean Restaurant,Dog Run,Pool,Diner,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Discount Store
3,Humber Summit,Pizza Place,Yoga Studio,Discount Store,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
0,Humberlea / Emery,Food Service,Baseball Field,Yoga Studio,Discount Store,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center,Ethiopian Restaurant
2,Humewood-Cedarvale,Park,Hockey Arena,Field,Trail,Yoga Studio,Diner,Dance Studio,Deli / Bodega,Department Store,Dessert Shop
0,India Bazaar / The Beaches West,Fast Food Restaurant,Pizza Place,Sandwich Place,Italian Restaurant,Burrito Place,Steakhouse,Ice Cream Shop,Board Shop,Brewery,Restaurant
0,Kennedy Park / Ionview / East Birchmount Park,Coffee Shop,Discount Store,Bus Station,Hobby Shop,Department Store,Train Station,Dog Run,Distribution Center,Doner Restaurant,Curling Ice
0,Kensington Market / Chinatown / Grange Park,Café,Coffee Shop,Bakery,Vietnamese Restaurant,Mexican Restaurant,Grocery Store,Vegetarian / Vegan Restaurant,Dessert Shop,Bar,Gaming Cafe
0,Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens,Mobile Phone Shop,Bus Line,Pizza Place,Sandwich Place,Yoga Studio,Dim Sum Restaurant,Deli / Bodega,Department Store,Dessert Shop,Diner
0,Lawrence Manor / Lawrence Heights,Clothing Store,Furniture / Home Store,Accessories Store,Boutique,Event Space,Miscellaneous Shop,Carpet Store,Coffee Shop,Vietnamese Restaurant,Airport Terminal
2,Lawrence Park,Park,Swim School,Bus Line,Diner,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Discount Store,Electronics Store
0,Leaside,Coffee Shop,Sporting Goods Shop,Bank,Furniture / Home Store,Burger Joint,Electronics Store,Department Store,Brewery,Fish & Chips Shop,Sports Bar
0,Little Portugal / Trinity,Bar,Restaurant,Café,Asian Restaurant,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Men's Store,Yoga Studio,Japanese Restaurant,Cuban Restaurant
0,Malvern / Rouge,Fast Food Restaurant,Yoga Studio,Curling Ice,Dumpling Restaurant,Drugstore,Donut Shop,Doner Restaurant,Dog Run,Distribution Center,Discount Store
2,Milliken / Agincourt North / Steeles East / L'Amoreaux East,Park,Playground,Coffee Shop,College Gym,Curling Ice,Dumpling Restaurant,Drugstore,Donut Shop,Doner Restaurant,Dog Run
0,Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West,Hardware Store,Gym,Tanning Salon,Burger Joint,Social Club,Convenience Store,Bakery,Fast Food Restaurant,Discount Store,Grocery Store
4,Moore Park / Summerhill East,Playground,Yoga Studio,Discount Store,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
0,New Toronto / Mimico South / Humber Bay Shores,Coffee Shop,Café,Pizza Place,Fast Food Restaurant,Bakery,Restaurant,Hobby Shop,Fried Chicken Joint,Mexican Restaurant,Pharmacy
2,North Park / Maple Leaf Park / Upwood Park,Park,Construction & Landscaping,Bakery,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dance Studio
0,North Toronto West,Clothing Store,Coffee Shop,Yoga Studio,Spa,Bagel Shop,Restaurant,Fast Food Restaurant,Mexican Restaurant,Sporting Goods Shop,Café
0,Northwest,Rental Car Location,Drugstore,Bar,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Yoga Studio
0,Northwood Park / York University,Massage Studio,Coffee Shop,Bar,Caribbean Restaurant,Discount Store,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Yoga Studio
0,Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East,Construction & Landscaping,Baseball Field,Distribution Center,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Yoga Studio,Dance Studio
0,Parkdale / Roncesvalles,Gift Shop,Cuban Restaurant,Breakfast Spot,Italian Restaurant,Dog Run,Bar,Dessert Shop,Restaurant,Bookstore,Eastern European Restaurant
0,Parkview Hill / Woodbine Gardens,Pizza Place,Pharmacy,Fast Food Restaurant,Café,Breakfast Spot,Athletics & Sports,Intersection,Pet Store,Bank,Gym / Fitness Center
2,Parkwoods,Park,Bus Stop,Food & Drink Shop,Diner,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Discount Store,Electronics Store
0,Queen's Park / Ontario Provincial Government,Coffee Shop,Sushi Restaurant,Diner,Yoga Studio,Discount Store,Bank,Bar,Café,Spa,Beer Bar
0,Regent Park / Harbourfront,Coffee Shop,Bakery,Pub,Park,Café,Theater,Restaurant,Breakfast Spot,Dessert Shop,Event Space
0,Richmond / Adelaide / King,Coffee Shop,Café,Restaurant,Thai Restaurant,Gym,Hotel,Clothing Store,American Restaurant,Deli / Bodega,Salad Place
2,Rosedale,Park,Trail,Playground,Yoga Studio,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner
1,Roselawn,Garden,Yoga Studio,Diner,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Discount Store,Cupcake Shop
0,Rouge Hill / Port Union / Highland Creek,History Museum,Bar,Yoga Studio,Discount Store,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center,Dance Studio
0,Runnymede / Swansea,Pizza Place,Café,Coffee Shop,Pub,Italian Restaurant,Sushi Restaurant,Yoga Studio,Gastropub,Latin American Restaurant,Juice Bar
0,Runnymede / The Junction North,Grocery Store,Brewery,Bus Line,Pizza Place,Yoga Studio,Diner,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant
4,Scarborough Village,Convenience Store,Playground,Yoga Studio,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
0,South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens,Grocery Store,Pizza Place,Coffee Shop,Japanese Restaurant,Discount Store,Pharmacy,Beer Store,Sandwich Place,Fast Food Restaurant,Fried Chicken Joint
0,St. James Town,Coffee Shop,Café,Gastropub,Cocktail Bar,American Restaurant,Italian Restaurant,Clothing Store,Restaurant,Farmers Market,Seafood Restaurant
0,St. James Town / Cabbagetown,Restaurant,Coffee Shop,Bakery,Italian Restaurant,Café,Pizza Place,Pub,Beer Store,Jewelry Store,Pet Store
0,Steeles West / L'Amoreaux West,Fast Food Restaurant,Chinese Restaurant,Furniture / Home Store,Sandwich Place,Discount Store,Pizza Place,Supermarket,Pharmacy,Bank,Grocery Store
0,Stn A PO Boxes,Coffee Shop,Italian Restaurant,Seafood Restaurant,Café,Japanese Restaurant,Restaurant,Cocktail Bar,Hotel,Beer Bar,Creperie
0,Studio District,Café,Coffee Shop,Gastropub,Bakery,Brewery,American Restaurant,Seafood Restaurant,Sandwich Place,Pet Store,Cheese Shop
0,Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park,Coffee Shop,Pub,Sushi Restaurant,Liquor Store,Supermarket,Bank,Sports Bar,Pizza Place,Fried Chicken Joint,Restaurant
0,The Annex / North Midtown / Yorkville,Sandwich Place,Café,Coffee Shop,Pub,Flower Shop,History Museum,Middle Eastern Restaurant,Cosmetics Shop,Pizza Place,Pharmacy
2,The Beaches,Trail,Park,Pub,Health Food Store,Yoga Studio,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant
0,The Danforth West / Riverdale,Greek Restaurant,Coffee Shop,Italian Restaurant,Bookstore,Furniture / Home Store,Ice Cream Shop,Caribbean Restaurant,Café,Dessert Shop,Pizza Place
2,The Kingsway / Montgomery Road / Old Mill North,Park,River,Cupcake Shop,Drugstore,Donut Shop,Doner Restaurant,Dog Run,Distribution Center,Discount Store,Diner
0,Thorncliffe Park,Indian Restaurant,Yoga Studio,Gym / Fitness Center,Bank,Fast Food Restaurant,Supermarket,Middle Eastern Restaurant,Pizza Place,Pharmacy,Restaurant
0,Toronto Dominion Centre / Design Exchange,Coffee Shop,Hotel,Café,Japanese Restaurant,Restaurant,American Restaurant,Deli / Bodega,Seafood Restaurant,Salad Place,Italian Restaurant
0,University of Toronto / Harbord,Café,Restaurant,Bar,Bookstore,Italian Restaurant,Japanese Restaurant,Bakery,Chinese Restaurant,Pub,Dessert Shop
0,Victoria Village,Coffee Shop,Grocery Store,Hockey Arena,Portuguese Restaurant,Yoga Studio,Diner,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant
0,Westmount,Pizza Place,Coffee Shop,Sandwich Place,Discount Store,Chinese Restaurant,Intersection,Distribution Center,Dog Run,Doner Restaurant,Curling Ice
2,Weston,Park,Convenience Store,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center,Curling Ice
0,Wexford / Maryvale,Smoke Shop,Shopping Mall,Bakery,Auto Garage,Vietnamese Restaurant,Breakfast Spot,Sandwich Place,Middle Eastern Restaurant,Diner,Department Store
0,Willowdale,Coffee Shop,Pizza Place,Ramen Restaurant,Café,Sandwich Place,Restaurant,Grocery Store,Indonesian Restaurant,Electronics Store,Bank
0,Willowdale / Newtonbrook,Home Service,Yoga Studio,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center,Curling Ice
0,Woburn,Coffee Shop,Korean Restaurant,Insurance Office,Distribution Center,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run
0,Woodbine Heights,Skating Rink,Dance Studio,Park,Beer Store,Video Store,Pharmacy,Cosmetics Shop,Curling Ice,Diner,Dim Sum Restaurant
0,York Mills / Silver Hills,Cafeteria,Martial Arts Dojo,Yoga Studio,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
2,York Mills West,Park,Bank,Convenience Store,Discount Store,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center,Dance Studio
